school_name,major_name
CSOM,Accounting
CSOM,Accounting for Finance and Consulting
CSOM,Business Analytics
CSOM,Entrepreneurship
CSOM,Finance
CSOM,Management and Leadership
CSOM,Marketing
CSOM,Operations Management
CSON,Global Health and the Common Good
CSON,Nursing
LSEHD,Applied Psychology and Human Development
LSEHD,Elementary Education
LSEHD,Elementary Education Non-Liscense Endorsement
LSEHD,Secondary Education
LSEHD,Secondary Education Non-Liscense Endorsement
LSEHD,Transformative Education Studies
MCAS,African and African Dispora Studies
MCAS,Applied Physics
MCAS,Art History
MCAS,Biochemistry
MCAS,Biology (B.A.)
MCAS,Biology (B.S.)
MCAS,Chemistry
MCAS,Classical Studies
MCAS,Commuication
MCAS,Computer Science (B.A.)
MCAS,Computer Science (B.S.)
MCAS,Economics
MCAS,English
MCAS,Environmental Geoscience
MCAS,Environmental Studies
MCAS,Film Studies
MCAS,French Language and Literature
MCAS,Geological Sciences
MCAS,German Studies
MCAS,Hispanic Studies
MCAS,History
MCAS,Human Centered Engineering
MCAS,Independent Major for MCAS Students (B.A.)
MCAS,Independent Major for MCAS Students (B.S.)
MCAS,International Studies
MCAS,Islamic Civilization and Societies
MCAS,Italian Language and Literature 
MCAS,Linguistics
MCAS,Mathematics (B.A.)
MCAS,Mathematics (B.S.)
MCAS,Music
MCAS,Neuroscience
MCAS,Philosophy
MCAS,Physics
MCAS,Political Science
MCAS,Russian Culture and Civilization
MCAS,Russian Language and Literature
MCAS,Slavic Studies
MCAS,Sociology
MCAS,Studio Art
MCAS,Theater 
MCAS,Theology
